NAME, WHILE_WAIT, SYNCHRONIZED_METHODS, SYNCHRONIZED_BLOCKS, WHILE_WAIT, CONDITIONAL_WAIT, DOUBLE_CHECKED_LOCK, LOCK_CALLS, UNLOCK_CALLS, WAIT_CALLS, NOTIFY_CALLS, NOTIFYALL_CALLS, SLEEP_CALLS, YIELD_CALLS, JOIN_CALLS, START_CALLS, RUN_CALLS, NESTEDNESS_LOCKS, NESTEDNESS_SYNCHRONIZED, NESTEDNESS_CONDITIONALS, NESTEDNESS_LOOPS
360-Engine-for-Android->DeleteIdentityRequest->handleGetAvailableIdentitiesResponse(430389), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1
360-Engine-for-Android->DeleteIdentityRequest->handleGetMyIdentitiesResponse(342547), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1
360-Engine-for-Android->DeleteIdentityRequest->handleDeleteIdentity(48112), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2
360-Engine-for-Android->DeleteIdentityRequest->isFacebookInThirdPartyAccountList(320826), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1
360-Engine-for-Android->DeleteIdentityRequest->isHyvesInThirdPartyAccountList(886074), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1
360-Engine-for-Android->DeleteIdentityRequest->addPendingIdentity(958873), 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
360-Engine-for-Android->PresenceEngine->notifyUiAgentOfResponse(362404), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1
360-Engine-for-Android->IdlPeopleInterface->handleMessage(57232), 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
360-Engine-for-Android->RequestQueueHolder->addRequestAndNotify(484389), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
360-Engine-for-Android->RequestQueueHolder->addRequest(578946), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0
360-Engine-for-Android->RequestQueueHolder->addRequest(629502), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1
360-Engine-for-Android->RequestQueueHolder->getAllRequests(298379), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
360-Engine-for-Android->RequestQueueHolder->getApiRequests(544913), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
360-Engine-for-Android->RequestQueueHolder->getRequests(817425), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1
360-Engine-for-Android->RequestQueueHolder->removeRequest(521194), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1
360-Engine-for-Android->RequestQueueHolder->clearActiveRequests(100693), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 1
360-Engine-for-Android->RequestQueueHolder->clearAllRequests(42837), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1
360-Engine-for-Android->ResponseQueueHolder->addToResponseQueue(498877), 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0
360-Engine-for-Android->ResponseQueueHolder->responseExists(500481), 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
360-Engine-for-Android->RemoteService->kickWorkerThread(814238), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0
360-Engine-for-Android->RawResponse->addToDecode(260236), 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
360-Engine-for-Android->RawResponse->run(410576), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 1
360-Engine-for-Android->HttpConnectionThread->run(604449), 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 1
360-Engine-for-Android->HttpConnectionThread->notifyOfItemInRequestQueue(760770), 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
360-Engine-for-Android->HttpConnectionThread->notifyOfRegainedNetworkCoverage(262907), 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
