PROJECT_NAME, SYNCHRONIZED_METHODS, SYNCHRONIZED_BLOCKS, WHILE_WAIT, CONDITIONAL_WAIT, DOUBLE_CHECKED_LOCK, LOCK_CALLS, UNLOCK_CALLS, WAIT_CALLS, NOTIFY_CALLS, NOTIFYALL_CALLS, SLEEP_CALLS, YIELD_CALLS, JOIN_CALLS, START_CALLS, RUN_CALLS, NESTEDNESS_LOCKS, NESTEDNESS_SYNCHRONIZED, NESTEDNESS_CONDITIONALS, NESTEDNESS_LOOPS, CALLABLE_INTERFACE, DELAYED_INTERFACE, THREADFACTORY_INTERFACE, BLOCKINGQUEUE_INTERFACE, LOCK_OBJECTS, COUNTDOWNLATCH_OBJECTS, CONDITION_OBJECTS, SEMAPHORE_OBJECTS, CYCLICBARRIER_OBJECTS, LOCK_OBJECT_FIELDS, CONDITION_OBJECT_FIELDS, EXECUTOR_OBJECT_FIELDS, CONCURRENTMAP_OBJECT_FIELDS, ATOMICINTEGER_OBJECT_FIELDS, BLOCKINGQUEUE_OBJECT_FIELDS, CONCURRENTLINKEDQUEUE_OBJECT_FIELDS, COPYONWRITEARRAYLIST_OBJECT_FIELDS, EXECUTORSERVICE_OBJECT_FIELDS, FUTURE_OBJECT_FIELDS, THREADPOOLEXECUTOR_OBJECT_FIELDS, COUNTDOWNLATCH_OBJECT_FIELDS, CYCLICBARRIER_OBJECT_FIELDS, EXCHANGER_OBJECT_FIELDS, SEMAPHORE_OBJECT_FIELDS, THREADFACTORY_OBJECT_FIELDS
360-Engine-for-Android, 120, 189, 3, 5, 10, 0, 0, 15, 27, 3, 23, 0, 0, 22, 34, 3, 2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
AnyMemo, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 21, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CleanUp.java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IronJacamar, 32, 59, 1, 0, 4, 20, 21, 2, 0, 1, 2, 0, 0, 6, 1, 2, 2, 11, 3, 0, 0, 4, 0, 0, 101, 0, 0, 0, 4, 3, 0, 18, 2, 1, 0, 12, 4, 0, 3, 112, 0, 0, 1, 0
JGroups, 150, 373, 10, 4, 17, 224, 225, 29, 3, 32, 359, 1, 54, 357, 11, 3, 3, 8, 4, 2, 0, 1, 1, 4, 21, 3, 4, 4, 65, 21, 12, 81, 90, 22, 2, 1, 7, 70, 5, 53, 27, 3, 6, 17
Minecraft-Server-Mod, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apache-ofbiz-09.04, 185, 135, 0, 0, 90, 2, 0, 3, 1, 0, 18, 0, 22, 36, 12, 1, 2, 9, 15, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bds114, 0, 7, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 45, 0, 0, 1, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cassandra, 37, 7, 0, 0, 1, 30, 30, 0, 0, 0, 28, 0, 55, 18, 12, 2, 1, 5, 3, 8, 0, 1, 0, 0, 4, 0, 0, 0, 4, 4, 0, 4, 19, 7, 0, 1, 14, 8, 1, 4, 0, 0, 2, 0
core, 0, 16, 0, 1, 1, 0, 0, 1, 1, 0, 14, 0, 0, 11, 1, 0, 2, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
